"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
122,中国人民大学,文学院,2026年中国人民大学文学院2027年推免生接收工作报名通知,http://wenxueyuan.ruc.edu.cn/xwgg/gg/28b9b29b0da941e3864ea5d3f1dfbd91.htm,2026-07-10,
123,云南大学,体育学院,2026年云南大学体育学院优秀大学生暑期夏令营实施方案,https://mp.weixin.qq.com/s/9cczMkkAitHtihx3z2Co-A,2026-07-10,
124,中国人民大学,外国语学院,2026年中国人民大学外国语学院2027年推免生接收工作通知,http://fl.ruc.edu.cn/sy/xwtz/tzgg_s/588241f633cb47f5ba3ef5eb274ef9e0.htm,2026-07-10,
125,北京大学,教育学院,2026年北京大学教育学院“教育技术前沿”暑期学校招生通知,https://mp.weixin.qq.com/s/dNOwmdoFoMK4H3bdo2ew1A,2026-06-30,
126,上海体育大学,心理学院,2026年上海体育大学心理学院优秀硕士研究生暑期夏令营招生简章,https://mp.weixin.qq.com/s/W8Qtc_E8xVWTrtVF-T79Fg?scene=1&click_id=1101615205,2026-06-30,
127,北京外国语大学,日语学院,2026年北京外国语大学日语学院全国高校日语专业优秀大学生学术夏令营,https://mp.weixin.qq.com/s/FU_jvOQsP18wOVNITTbDUA,2026-06-30,
128,南京邮电大学,外国语学院,2026年南京邮电大学外国语学院开放日公告,https://fld.njupt.edu.cn/2026/0618/c5122a305148/page.htm,2026-06-30,
129,南京师范大学,心理学院,2026年南京师范大学心理学院“本科生学院开放日”活动公告,https://xlxy.njnu.edu.cn/info/1161/100101.htm,2026-06-30,
130,四川大学,外国语学院,2026年四川大学外国语学院关于举办优秀大学生暑期夏令营的通知,https://mp.weixin.qq.com/s/f5HnGDaHeAH6Wol7EuTf4w,2026-06-30,
131,西南大学,美术学院,"2026年西南大学美术学院""优秀大学生学术夏令营""营员招募公告",https://mp.weixin.qq.com/s/biTBR-4bq-VwWP3XVl7RUg,2026-06-30,
